cost_to_turnover,admin_cost_ratio,employment_cost_ratio,finance_cost_ratio,deductions_to_turnover,high_cost_flag,thin_margin_flag,turnover_bin_q,sector,is_loss
0.0,0.3831787990653921,0.3831787990653921,0.009952696079620574,0.0,0,0,Q2,TRANSPORTATION AND STORAGE,1
0.7704781478226267,0.0,0.0,0.01841925486128676,0.014399768617482182,0,0,Q4,MANUFACTURING,0
0.0,0.9635082496656374,0.0,0.0,0.9635074792448644,0,0,Q1,TRANSPORTATION AND STORAGE,1
0.0,0.0,0.0,0.0,0.0,0,0,Q1,"AGRICULTURE, FORESTRY AND FISHING",1
0.1785004327333815,0.0,0.0,0.0,0.0,0,0,Q2,"AGRICULTURE, FORESTRY AND FISHING",0
0.741152203439201,0.22636438459167532,0.20222325338788727,0.10273401909613437,0.03833855264985114,0,0,Q4,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,1
0.0,0.5841312184907261,0.5841312184907261,0.021614603980020613,0.0,0,0,Q2,EDUCATION,1
0.9307237046841637,0.0,0.0,5.0657007010139376e-05,0.0,1,0,Q4,CONSTRUCTION,0
0.8152089104438441,0.0,0.0,0.0,0.0,0,0,Q3,"WHOLESALE AND RETAIL TRADE, REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",0
0.0,0.0,0.0,0.0019888038299588637,0.0,0,0,Q2,SERVICE ACTIVITIES,1
0.7655862139831561,0.010990401016601467,0.007871645420167548,0.0025041075439947136,0.004470038050676142,0,0,Q4,"WHOLESALE AND RETAIL TRADE, REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",0
0.9911875423446472,0.0008570757489465456,0.0,0.0009276373602076664,0.0008570768349963461,1,1,Q4,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,0
0.0,0.12530766166631283,0.0,0.0017235054638311408,0.0,0,0,Q2,REAL ESTATE ACTIVITIES,0
0.6691559870654248,0.008973640369113163,0.0,0.0,0.008973815448086751,0,0,Q3,"WHOLESALE AND RETAIL TRADE, REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",0
2.975,0.0,0.0,0.0,1.027,1,0,Q1,CONSTRUCTION,1
0.15825504232429616,0.03984002936171738,0.03984002936171738,0.017256136450961156,0.07887841640618165,0,0,Q4,TRANSPORTATION AND STORAGE,0
0.02431982459259597,0.05338745066437773,0.0,0.002444480155378523,0.0,0,0,Q3,CONSTRUCTION,0
0.8990117738066132,0.0,0.0,0.014189005909438559,0.0,0,0,Q3,"WHOLESALE AND RETAIL TRADE, REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",0
0.0,0.5946164362075239,0.5920499057662334,0.002703068470335778,0.0025665304412904825,0,0,Q4,SERVICE ACTIVITIES,0
0.14453482322999492,0.6793874178534657,0.6320299558376595,0.049359306280466,0.02366041867908361,0,0,Q4,INFORMATION AND COMMUNICATION,1
0.5149555465568249,0.027662499451908518,0.0,0.0076263383104338564,0.027662434970557814,0,0,Q2,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0
0.2303728578690842,0.06630837209198621,0.029960847443266696,0.0333526940794021,0.03634752046813615,0,0,Q3,TRANSPORTATION AND STORAGE,0
0.532174526305724,0.10422299600043439,0.0,0.09856054383997045,0.10422300310982535,0,0,Q4,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,0
0.37290730191610566,0.0,0.0,0.0,0.0,0,0,Q1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1
0.0,0.0225375,0.0,0.010370833333333333,0.0,0,0,Q1,INFORMATION AND COMMUNICATION,1
0.669911641171273,0.09217361744356281,0.0774439774941011,0.0023915799939723346,0.012097327610160103,0,0,Q3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,1
0.0,0.0,0.0,0.03790333333333333,0.0,0,0,Q2,REAL ESTATE ACTIVITIES,0
0.0,2.718,0.0,0.952,0.0,0,0,Q1,"AGRICULTURE, FORESTRY AND FISHING",1
0.0,0.555868993660242,0.5190984997721022,0.06258133060255837,0.03677049038722604,0,0,Q4,REAL ESTATE ACTIVITIES,0
0.769358141693586,0.0,0.0,0.0,0.0,0,0,Q3,CONSTRUCTION,0
0.9195186101098164,0.0,0.0,0.0,0.0,1,0,Q3,CONSTRUCTION,0
0.8437047359529606,0.0,0.0,0.0,0.0,0,0,Q3,CONSTRUCTION,0
0.7552843649944122,0.0,0.0,0.0037600969495777316,0.0,0,0,Q2,CONSTRUCTION,1
0.6970404784780249,0.0007987621749709564,0.0,0.0547346909897781,0.0,0,0,Q2,SERVICE ACTIVITIES,0
0.0,0.012153769491607822,0.012153769491607822,0.0,0.0,0,0,Q3,INFORMATION AND COMMUNICATION,0
0.9708685400168295,0.005368267268758835,0.003621597045537855,3.209118945869592e-05,0.0017466687483290858,1,1,Q4,"WHOLESALE AND RETAIL TRADE, REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",0
0.9793225784522802,0.006899971099817409,0.0056813630267326725,0.0005039202512288191,0.0012186088368114506,1,1,Q4,TRANSPORTATION AND STORAGE,0
1.0088152610441767,0.03354979919678715,0.0,0.062016465863453815,0.02873046184738956,1,1,Q2,EDUCATION,1
0.0,0.29228455048403745,0.27776302463964414,0.02799517290737237,0.014362719047803589,0,0,Q4,EDUCATION,0
